timeStamp,Price,Open,High,Low,Vol.,Change %
28-Jul-16,"6,392.15","6,382.98","6,402.18","6,375.26",74.44M,0.15%
27-Jul-16,"6,382.42","6,388.98","6,394.40","6,379.40",48.53M,-0.72%
26-Jul-16,"6,428.77","6,417.79","6,435.22","6,414.92",32.31M,0.50%
25-Jul-16,"6,397.09","6,428.67","6,431.01","6,397.09",24.36M,-0.49%
22-Jul-16,"6,428.77","6,417.79","6,435.22","6,414.92",32.31M,0.18%
21-Jul-16,"6,417.46","6,414.69","6,427.18","6,411.18",45.08M,0.05%
20-Jul-16,"6,414.49","6,415.99","6,435.15","6,414.49",44.03M,-0.02%
18-Jul-16,"6,415.81","6,419.59","6,427.41","6,407.34",29.06M,-0.11%
15-Jul-16,"6,422.69","6,402.14","6,422.80","6,399.62",74.71M,0.32%
14-Jul-16,"6,401.90","6,402.81","6,423.27","6,400.76",88.96M,-0.01%
13-Jul-16,"6,402.78","6,398.24","6,423.18","6,398.13",133.46M,0.02%
12-Jul-16,"6,401.31","6,372.12","6,412.76","6,371.47",33.94M,0.46%
11-Jul-16,"6,372.24","6,368.66","6,381.94","6,366.31",44.81M,0.09%
8-Jul-16,"6,366.31","6,318.49","6,369.35","6,310.69",38.19M,0.88%
7-Jul-16,"6,310.69","6,284.07","6,330.41","6,280.39",25.06M,0.48%
5-Jul-16,"6,280.39","6,254.12","6,291.00","6,250.12",18.85M,0.41%
4-Jul-16,"6,254.77","6,283.99","6,291.35","6,254.77",11.45M,-0.51%
1-Jul-16,"6,287.09","6,280.09","6,292.68","6,277.97",10.84M,0.06%
30-Jun-16,"6,283.27","6,291.14","6,309.33","6,280.77",25.36M,-0.12%
29-Jun-16,"6,290.89","6,308.26","6,311.46","6,282.63",30.34M,-0.26%
28-Jun-16,"6,307.40","6,318.76","6,344.43","6,307.40",11.88M,-0.17%
27-Jun-16,"6,318.21","6,368.10","6,370.79","6,318.21",18.93M,-0.81%
24-Jun-16,"6,370.11","6,392.53","6,398.06","6,358.92",17.03M,-0.44%
23-Jun-16,"6,398.06","6,422.20","6,427.02","6,398.06",9.09M,-0.35%
22-Jun-16,"6,420.80","6,446.81","6,457.81","6,420.80",16.50M,-0.40%
21-Jun-16,"6,446.88","6,462.19","6,468.70","6,442.03",11.42M,-0.22%
20-Jun-16,"6,461.12","6,466.40","6,467.89","6,458.43",10.30M,-0.08%
17-Jun-16,"6,465.99","6,434.97","6,469.31","6,433.75",15.67M,0.47%
